Complexity,Loss,Equation
1,66.30723,"9.501683"
3,9.501684,"x0 * x0"
5,0.99999976,"x0 * (x0 - -0.99999887)"
7,5.32836e-13,"(x0 * x0) + (x0 + 1.0000002)"
9,4.2845726e-13,"((x0 + 0.3346985) + (x0 * x0)) - -0.6653015"
13,4.2842173e-13,"(((x0 * (x0 - 2.2872422e-8)) - 2.2872422e-8) + (x0 + 0.33469847)) - -0.66530156"
15,3.9882765e-13,"((x0 - 2.148138) - (x0 * ((x0 / (x0 * x0)) - x0))) + 4.148138"
17,3.9399595e-13,"((8.195864e-8 - (x0 * ((x0 / (x0 * x0)) - x0))) - (2.4856129 - x0)) + 4.485613"
19,3.812062e-13,"(((x0 - x0) - (x0 * ((x0 / (x0 * x0)) - x0))) + (x0 - 2.148138)) + 4.148138"
